,active_parcel,deposits_record_id,district_id,liens_record_id,invoice_purchase_amount,invoice_interest,invoice_total,invoice_professional_costs,invoice_penalty,invoice_variance,date_modified,payment_validation,date_created,invoice_income_other,record_owner,last_modified_by,invoice_recording___admin,created_by_auto_redeem
0,17126-00-35-43-20-01-000-0013,34959,17126,581285,450.33,22.52,472.85,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
1,17126-00-35-43-20-01-000-0051,34959,17126,581286,3022.5,151.13,3173.63,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
2,17126-00-36-43-36-02-000-0052,34959,17126,581292,990.22,49.51,1039.73,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
3,17126-00-38-45-11-00-000-5010,34959,17126,581315,536.94,26.85,563.79,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
4,17126-00-41-47-25-07-015-0140,34959,17126,580352,4721.85,236.09,4957.94,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
5,17126-00-41-47-26-02-025-0110,34959,17126,580344,4037.4,201.87,4239.27,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
6,17126-00-41-47-36-03-000-5900,34959,17126,579414,340.02,17.0,357.02,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
7,17126-00-42-42-25-05-000-6980,34959,17126,579395,808.76,40.44,849.2,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
8,17126-00-42-43-23-08-007-0253,34959,17126,579483,682.58,34.13,716.71,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
9,17126-00-42-43-23-21-004-0790,34959,17126,579511,965.67,48.28,1013.95,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
10,17126-00-42-43-23-38-001-1180,34959,17126,579558,728.86,36.44,765.3,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
11,17126-00-42-43-23-38-002-3230,34959,17126,579560,260.54,13.03,273.57,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
12,17126-00-42-44-13-21-005-0030,34959,17126,580713,765.78,38.29,804.07,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
13,17126-00-42-44-14-22-005-0070,34959,17126,580721,756.96,37.85,794.81,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
14,17126-00-42-44-14-34-011-0020,34959,17126,580725,734.02,36.7,770.72,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
15,17126-00-42-44-14-37-001-0100,34959,17126,580728,267.03,13.35,280.38,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
16,17126-00-42-44-36-08-016-0040,34959,17126,580815,1862.8,93.14,1955.94,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
17,17126-00-42-46-22-08-011-4940,34959,17126,580972,774.86,38.74,813.6,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
18,17126-00-42-46-22-10-011-5250,34959,17126,581016,257.3,12.87,270.17,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
19,17126-00-42-46-22-10-016-7380,34959,17126,581026,733.89,36.69,770.58,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
20,17126-00-42-46-23-05-008-3540,34959,17126,581070,662.6,33.13,695.73,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
21,17126-00-42-47-08-04-004-1470,34959,17126,580468,256.21,12.81,269.02,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
22,17126-00-42-47-08-07-001-2013,34959,17126,580450,907.2,45.36,952.56,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
23,17126-00-42-47-08-08-005-1760,34959,17126,580446,820.15,41.01,861.16,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
24,17126-00-42-47-08-08-009-3440,34959,17126,580443,668.0,33.4,701.4,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
25,17126-00-42-47-08-10-003-1240,34959,17126,580438,256.21,12.81,269.02,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
26,17126-00-42-47-08-13-005-1740,34959,17126,580421,846.02,42.3,888.32,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
27,17126-00-42-47-16-03-000-1566,34959,17126,580395,990.73,49.54,1040.27,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
28,17126-00-42-47-21-24-001-3051,34959,17126,581763,788.6,39.43,828.03,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
29,17126-00-42-47-22-35-011-0690,34959,17126,581766,3126.95,156.35,3283.3,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
30,17126-00-42-47-31-03-001-1306,34959,17126,581785,752.59,37.63,790.22,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
31,17126-00-43-45-09-10-004-0360,34959,17126,581083,1373.79,68.69,1442.48,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
32,17126-04-37-43-33-02-000-0060,34959,17126,580549,1076.48,53.82,1130.3,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
33,17126-04-37-43-41-05-002-0050,34959,17126,580530,2375.26,118.76,2494.02,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
